,alpha,alpha_compound,alpha_weighted,alpha_weighted_compound,lognorm,lognorm_compound
alexnet,2.8006915646495956,2.79836381328899,1.7093696729133068,2.892666070125807,0.8426187634468079,1.2041019360602847
vgg11,2.57249349554771,2.5370046538617865,1.8439952056035853,2.4581930346911944,0.9474875926971436,1.1385774188571507
vgg13,2.689696326514177,2.62875470540031,1.6453829422021424,2.1923075166617214,0.864038348197937,1.0408314946624968
vgg16,2.946329880191783,2.8513855525137735,1.5188434772083352,1.9602916012572924,0.8516586422920227,0.9923271223350807
vgg19,3.0505885068668817,2.916135518957548,1.282422984030739,1.6014160726830213,0.8282792568206787,0.9455304517422193
bn_vgg11b,2.74696659689822,2.6381040144833436,1.5976473080584017,2.201920075478285,0.8902484178543091,1.0958630912833744
bn_vgg13b,2.9530778868723635,2.8166480604357838,1.3551245612761784,1.9049101606421484,0.7937535047531128,0.9850172309411896
bn_vgg16b,3.0251193408059187,2.9079602212816082,1.1288637655307627,1.5957709081402638,0.7969171404838562,0.9427045075981706
bn_vgg19b,3.2029329872944037,3.0804172279089888,0.9072483566623027,1.3187562277737233,0.7749110460281372,0.8965449500599026
bninception,3.162554056757329,3.8509357656009615,-0.7660138396759225,0.564218409935718,0.4347619116306305,0.6468280499977564
resnet10,2.9624327840012428,2.9473560157981766,1.944250843387172,2.229803816100896,0.8798477053642273,0.958858174306375
resnet12,3.037276173334051,3.0150274514147575,0.7435729825439857,1.0455481905395971,0.6783980131149292,0.7595309376243561
resnet14,3.113083691013751,3.146798837392982,1.698913721209031,1.987826049076822,0.8383921384811401,0.9138789056903786
resnet16,3.379567264165973,3.405977782806676,1.4948557277642693,1.8254227433201764,0.8271889090538025,0.8939397088539454
resnet18_wd4,3.385172597993342,3.2833053904230507,1.8316091890950466,2.3730881781613657,0.797986626625061,0.9065599559265891
resnet18_wd2,3.657659883090478,3.45869219734685,1.8209536947239173,2.0922043241148836,0.840069055557251,0.9139023392446458
resnet18_w3d4,3.5048675531505293,3.473862620140263,0.27519697981516794,0.6812952051272659,0.6530656218528748,0.7289461585737411
resnet18,3.2234862543310694,3.3361055376571302,0.37950216527577546,0.7104493862424406,0.6234415173530579,0.6845271183384789
resnet34,3.5337618831386903,3.6091256729579695,-0.4167435928509609,-0.09618331125285438,0.5906298756599426,0.6370425750443965
resnet50,3.6412058811692765,4.0210140639900365,-0.19220396877659854,1.2165347388317425,0.6069626212120056,0.8223122702579578
resnet50b,3.371429461565137,4.12486313704768,0.06591808281366937,1.3410197310155352,0.5995379090309143,0.8085887101273868
resnet101,3.0938362506861132,3.5969578426426545,-0.6653174600886463,0.401965332007546,0.5005567073822021,0.7110338303395826
resnet101b,3.3243694161248714,3.632973292369122,-0.9485941636866061,0.2287533069794047,0.4840923249721527,0.6947322245687246
resnet152,3.3729363469606657,3.5708424072924263,-1.3438083155758926,-0.19432450520161762,0.42160719633102417,0.632745596948063
resnet152b,3.256931910824212,3.589110926844827,-1.263491788395885,-0.19029009771043684,0.4168083071708679,0.62552082255002
preresnet18,3.2769932295298454,3.402888723712434,0.2584775195085912,0.5630150464219245,0.5959573984146118,0.6506493065092298
